"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Roosevelt Nix",3000,"Den@Pit 04:25PM ET",0.277,"Pit"
"WR","Rod Streater",3000,"GB@Oak 04:05PM ET",1.800,"Oak"
"RB","Andre Williams",3000,"Car@NYG 01:00PM ET",2.323,"NYG"
"WR","Joshua Bellamy",3000,"Chi@Min 01:00PM ET",2.677,"Chi"
"WR","Neal Sterling",3000,"Atl@Jax 01:00PM ET",0.000,"Jax"
"WR","Javontee Herndon",3000,"Mia@SD 04:25PM ET",4.920,"SD"
"WR","Jonathan Krause",3000,"Ari@Phi 08:30PM ET",1.400,"Phi"
"WR","Andrew Turzilli",3000,"Ten@NE 01:00PM ET",4.500,"Ten"
"RB","Juwan Thompson",3000,"Den@Pit 04:25PM ET",1.325,"Den"
"WR","DeAndrew White",3000,"Cin@SF 04:25PM ET",0.950,"SF"
"WR","Kaelin Clay",3000,"KC@Bal 01:00PM ET",1.500,"Bal"
"WR","Matt Hazel",3000,"Mia@SD 04:25PM ET",0.000,"Mia"
"WR","Keith Mumphery",3000,"Hou@Ind 01:00PM ET",2.069,"Hou"
"WR","Justin Hardy",3000,"Atl@Jax 01:00PM ET",3.817,"Atl"
"WR","J.J. Nelson",3000,"Ari@Phi 08:30PM ET",6.863,"Ari"
"WR","Kevin Smith",3000,"Cle@Sea 04:05PM ET",1.150,"Sea"
"WR","Andre Holmes",3000,"GB@Oak 04:05PM ET",3.700,"Oak"
"WR","Geremy Davis",3000,"Car@NYG 01:00PM ET",0.410,"NYG"
"RB","Jamize Olawale",3000,"GB@Oak 04:05PM ET",2.909,"Oak"
"WR","Cameron Meredith",3000,"Chi@Min 01:00PM ET",2.122,"Chi"
"RB","Jerick McKinnon",3000,"Chi@Min 01:00PM ET",2.562,"Min"
"WR","Chris Hogan",3000,"Buf@Was 01:00PM ET",6.443,"Buf"
"RB","Terron Ward",3000,"Atl@Jax 01:00PM ET",2.764,"Atl"
"RB","Jay Ajayi",3000,"Mia@SD 04:25PM ET",4.833,"Mia"
"WR","Chris Conley",3000,"KC@Bal 01:00PM ET",2.977,"KC"
"WR","Quan Bray",3000,"Hou@Ind 01:00PM ET",0.000,"Ind"
"WR","Sammie Coates",3000,"Den@Pit 04:25PM ET",0.300,"Pit"
"RB","Ka'Deem Carey",3000,"Chi@Min 01:00PM ET",2.288,"Chi"
"WR","Tre McBride",3000,"Ten@NE 01:00PM ET",0.000,"Ten"
"WR","Phillip Dorsett",3000,"Hou@Ind 01:00PM ET",4.138,"Ind"
"WR","Rashad Ross",3000,"Buf@Was 01:00PM ET",2.330,"Was"
"WR","Ty Montgomery",3000,"GB@Oak 04:05PM ET",7.000,"GB"
"WR","Marqise Lee",3000,"Atl@Jax 01:00PM ET",2.686,"Jax"
"WR","Bruce Ellington",3000,"Cin@SF 04:25PM ET",1.410,"SF"
"RB","Aaron Ripkowski",3000,"GB@Oak 04:05PM ET",0.233,"GB"
"WR","Rashad Greene",3000,"Atl@Jax 01:00PM ET",7.117,"Jax"
"WR","Darius Jennings",3000,"Cle@Sea 04:05PM ET",4.250,"Cle"
"RB","Akeem Hunt",3000,"Hou@Ind 01:00PM ET",1.425,"Hou"
"RB","Raheem Mostert",3000,"KC@Bal 01:00PM ET",0.000,"Bal"
"WR","De'Anthony Thomas",3000,"KC@Bal 01:00PM ET",4.540,"KC"
"RB","Bishop Sankey",3000,"Ten@NE 01:00PM ET",4.290,"Ten"
"WR","Cody Latimer",3000,"Den@Pit 04:25PM ET",1.500,"Den"
"WR","Brittan Golden",3000,"Ari@Phi 08:30PM ET",0.000,"Ari"
"WR","Tyrell Williams",3000,"Mia@SD 04:25PM ET",0.000,"SD"
"WR","Cordarrelle Patterson",3000,"Chi@Min 01:00PM ET",1.269,"Min"
"RB","Damien Williams",3000,"Mia@SD 04:25PM ET",2.208,"Mia"
"RB","John Crockett",3000,"GB@Oak 04:05PM ET",2.200,"GB"
"RB","Cameron Artis-Payne",3000,"Car@NYG 01:00PM ET",0.775,"Car"
"WR","Jaelen Strong",3000,"Hou@Ind 01:00PM ET",3.200,"Hou"
"WR","Adam Thielen",3000,"Chi@Min 01:00PM ET",1.823,"Min"
"WR","Mario Alford",3000,"Cin@SF 04:25PM ET",2.500,"Cin"
"WR","Taylor Gabriel",3000,"Cle@Sea 04:05PM ET",4.930,"Cle"
"WR","Jeff Janis",3000,"GB@Oak 04:05PM ET",0.762,"GB"
"DST","Bills ",2800,"Buf@Was 01:00PM ET",6.154,"Buf"
"DST","Dolphins ",2800,"Mia@SD 04:25PM ET",6.385,"Mia"
"DST","Steelers ",2700,"Den@Pit 04:25PM ET",9.385,"Pit"
"TE","Owen Daniels",2700,"Den@Pit 04:25PM ET",7.754,"Den"
"TE","Coby Fleener",2700,"Hou@Ind 01:00PM ET",7.369,"Ind"
"TE","Mychal Rivera",2700,"GB@Oak 04:05PM ET",4.446,"Oak"
"TE","Ladarius Green",2700,"Mia@SD 04:25PM ET",9.082,"SD"
"TE","Clive Walford",2600,"GB@Oak 04:05PM ET",4.931,"Oak"
"DST","Falcons ",2500,"Atl@Jax 01:00PM ET",5.846,"Atl"
"DST","Texans ",2500,"Hou@Ind 01:00PM ET",6.846,"Hou"
"DST","Vikings ",2500,"Chi@Min 01:00PM ET",7.308,"Min"
"TE","Mike Leach",2500,"Ari@Phi 08:30PM ET",0.000,"Ari"
"TE","Craig Stevens",2500,"Ten@NE 01:00PM ET",2.523,"Ten"
"TE","Marcedes Lewis",2500,"Atl@Jax 01:00PM ET",2.092,"Jax"
"TE","Matt Spaeth",2500,"Den@Pit 04:25PM ET",0.300,"Pit"
"TE","Clark Harris",2500,"Cin@SF 04:25PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Ten@NE 01:00PM ET",4.438,"Ten"
"TE","Brent Celek",2500,"Ari@Phi 08:30PM ET",5.700,"Phi"
"TE","Darren Fells",2500,"Ari@Phi 08:30PM ET",5.455,"Ari"
"TE","Tony Moeaki",2500,"Atl@Jax 01:00PM ET",0.263,"Atl"
"TE","David Johnson",2500,"Mia@SD 04:25PM ET",0.031,"SD"
"TE","Clay Harbor",2500,"Atl@Jax 01:00PM ET",2.533,"Jax"
"TE","Garrett Graham",2500,"Hou@Ind 01:00PM ET",1.625,"Hou"
"TE","Anthony McCoy",2500,"Cle@Sea 04:05PM ET",0.000,"Sea"
"TE","Jim Dray",2500,"Cle@Sea 04:05PM ET",0.715,"Cle"
"TE","Virgil Green",2500,"Den@Pit 04:25PM ET",2.392,"Den"
"TE","John Phillips",2500,"Mia@SD 04:25PM ET",1.615,"SD"
"TE","Richard Gordon",2500,"KC@Bal 01:00PM ET",0.000,"Bal"
"TE","Rob Housler",2500,"Chi@Min 01:00PM ET",0.229,"Chi"
"TE","Kyle Nelson",2500,"Cin@SF 04:25PM ET",0.000,"SF"
"TE","Jermaine Gresham",2500,"Ari@Phi 08:30PM ET",3.250,"Ari"
"TE","Lee Smith",2500,"GB@Oak 04:05PM ET",1.858,"Oak"
"TE","Konrad Reuland",2500,"KC@Bal 01:00PM ET",0.000,"Bal"
"TE","Jordan Cameron",2500,"Mia@SD 04:25PM ET",5.777,"Mia"
"TE","Rhett Ellison",2500,"Chi@Min 01:00PM ET",2.383,"Min"
"TE","Patrick Scales",2500,"Chi@Min 01:00PM ET",0.000,"Chi"
"TE","Jake Stoneburner",2500,"Mia@SD 04:25PM ET",2.713,"Mia"
"TE","Beau Brinkley",2500,"Ten@NE 01:00PM ET",0.000,"Ten"
"TE","Dwayne Allen",2500,"Hou@Ind 01:00PM ET",2.855,"Ind"
"TE","Kevin McDermott",2500,"Chi@Min 01:00PM ET",0.000,"Min"
